ID,Name,Age,Email,Date of Joining,Salary,Department,Performance Score,Remote Work,Manager ID
60,Jessica Lloyd,57,lparker@mason-hooper.com,2011-07-02,32368.92,Sales,1.74,True,32.0
61,Angela Foster,48,james31@hotmail.com,2022-05-23,94699.1,Operations,4.81,True,48.0
62,Sydney Jones,37,wmeyer@west.com,2019-01-24,104311.27,Legal,3.75,True,10.0
63,Jamie Smith,60,sara44@beck.biz,2014-04-20,97215.04,Legal,1.86,True,72.0
64,Eric Berg,63,james91@gmail.com,2016-05-28,76111.42,Operations,4.79,False,64.0
65,Yvonne Luna,19,ryan98@gmail.com,2023-05-10,71221.89,Operations,3.92,False,42.0
66,Glenn Reyes Jr.,61,sschultz@williams.com,2018-05-13,79447.67,HR,2.02,False,29.0
67,Gabriel Mendoza,36,williamsbrandon@neal-winters.biz,2018-02-17,93417.93,Marketing,1.85,True,58.0
68,Tiffany Clark,32,gibbsjill@boyd.info,2021-12-15,113062.29,Sales,3.07,False,31.0
69,Pamela Turner,43,herrerawilliam@gmail.com,2018-12-01,85533.17,Legal,1.1,False,44.0
70,Nicholas Soto,55,blackwelllynn@hotmail.com,2012-11-02,109905.09,Legal,1.83,False,61.0
71,Michelle Dillon,26,brittneycalderon@cook.com,2018-05-09,93113.12,Finance,2.7,False,99.0
72,Patrick Fernandez,52,tward@hotmail.com,2017-07-29,36150.27,IT,2.5,True,52.0
73,Stacey Reynolds,44,tamaraalvarado@hotmail.com,2020-07-22,75074.54,Operations,2.85,False,3.0
74,Jennifer Jackson,29,zhudson@gmail.com,2021-09-18,55783.77,Finance,2.11,False,57.0
75,Paige Foley,62,wcraig@gmail.com,2014-06-17,55665.74,Operations,3.35,False,92.0
76,Peter Baker,29,christopher85@gmail.com,2020-10-13,62033.48,Legal,4.46,False,
77,Richard Benson,58,sanchezlindsay@hotmail.com,2010-11-25,58325.95,HR,1.47,True,70.0
78,Crystal Arnold,54,robert58@smith-rivers.com,2014-08-12,82074.9,IT,3.07,False,51.0
79,Chloe James,30,johnsonseth@tran.com,2019-05-17,91524.14,Marketing,1.53,False,97.0
80,Dominique Carpenter,35,jennifer61@roberts.com,2015-02-27,54187.44,IT,3.87,True,99.0
81,Tasha House,49,tammy11@larsen.com,2017-08-28,41678.64,IT,2.58,False,57.0
82,Tracy Nelson,28,joy41@hotmail.com,2017-08-07,35292.78,Legal,3.26,True,28.0
83,Misty Munoz,28,ortegajessica@parsons-petersen.com,2011-10-11,81817.76,IT,1.73,True,54.0
84,Donna Vasquez,29,phillipsnicole@lyons-lyons.com,2011-10-16,46751.71,Legal,1.58,True,30.0
85,Jordan Johnson,47,victor71@castillo-allison.net,2020-03-28,30832.32,Marketing,2.95,False,32.0
86,Shannon Davenport,52,dixonmichael@hotmail.com,2014-04-22,113497.78,Sales,2.42,False,61.0
87,Eric Smith,28,ilucas@hotmail.com,2012-11-17,78342.64,HR,4.76,False,60.0
88,Sherry Ross,30,stephanie39@montgomery-wallace.com,2014-06-16,38320.34,HR,4.06,True,18.0
89,Ricky Hines,57,bjackson@patel.org,2017-12-11,105862.9,Finance,3.99,True,29.0
90,Sheena Perez,28,smithjeremy@rogers.biz,2023-03-14,118488.25,Marketing,4.61,True,56.0
91,Samantha Mccormick,20,lindaforbes@wright-whitney.com,2010-07-19,70374.06,Sales,1.33,False,36.0
92,Donald Brown,65,kboone@yahoo.com,2015-02-27,33824.06,HR,3.21,True,46.0
93,Daniel Warren,29,davidwarren@yahoo.com,2015-06-19,40579.13,Finance,3.34,False,83.0
94,Maureen Nelson,64,sheilareyes@gmail.com,2015-05-26,64348.84,Marketing,4.85,True,62.0
95,Stephen Oneill,59,bbecker@jones.com,2019-03-20,109697.04,Finance,2.17,True,76.0
96,Jessica Jones,45,wgray@yahoo.com,2013-09-16,43323.48,Operations,1.96,True,19.0
97,Helen Thompson,21,daniellehill@gmail.com,2019-07-25,104159.11,HR,1.4,False,66.0
98,Matthew Jones,34,wmendoza@gmail.com,2022-09-16,31347.86,Marketing,1.07,False,87.0
99,Kristina Roy,18,uclay@yahoo.com,2022-01-13,71164.98,Finance,4.72,True,11.0
100,Tyrone Washington,31,crystal95@yahoo.com,2010-10-03,87995.74,Legal,3.68,True,24.0
101,Gabrielle Riddle,56,jphillips@yahoo.com,2012-06-09,35434.15,Marketing,4.14,False,38.0
102,Amy Nichols,22,rmartin@yahoo.com,2015-01-16,85328.65,IT,2.13,True,66.0
103,Calvin Blake,21,joshua79@hotmail.com,2021-02-06,114996.37,Legal,3.35,True,80.0
104,Luke Barnes,37,andersonyolanda@yahoo.com,2024-03-03,44423.39,Marketing,1.26,False,86.0
105,Joshua Reilly,35,dana49@hotmail.com,2022-05-04,95665.02,Marketing,2.94,False,15.0
106,Jacob Case,34,graychelsea@hotmail.com,2012-07-25,84818.45,Marketing,4.91,False,7.0
107,Nathaniel Robles,25,jamesrobinson@hotmail.com,2019-12-02,46660.47,Finance,4.51,False,19.0
108,Ms. Megan Torres,42,sandersjesse@martinez-house.com,2023-01-21,30558.31,Sales,2.35,True,43.0
109,Carlos Smith,29,parkertroy@hotmail.com,2011-12-13,30835.6,HR,4.85,False,4.0
110,Nicholas Hart,40,kimberly27@gmail.com,2024-03-31,77888.32,Marketing,1.93,False,42.0
111,Jason Meyer,45,andersondaniel@delgado-chen.com,2018-01-24,114850.15,Legal,4.8,False,79.0
112,Daniel Miller,20,jacob46@white.com,2011-03-26,87986.88,Sales,4.77,True,20.0
113,Mark Brown,26,samantha97@hotmail.com,2019-06-13,94286.99,Finance,4.2,False,98.0
114,Amanda Velazquez,26,aaron13@cook.net,2012-05-14,74447.89,Marketing,3.52,True,59.0
115,Adrian Vasquez,43,zimmermancarmen@miller.com,2011-08-04,82370.0,IT,4.5,False,49.0
116,Cheryl Berry,56,laura62@gmail.com,2022-12-27,41373.08,Finance,2.17,True,86.0
117,Anthony Carlson,51,sanfordamanda@hotmail.com,2018-10-09,108913.86,IT,4.4,True,24.0
118,Amanda Edwards,42,umassey@gmail.com,2022-08-24,98471.34,IT,3.47,True,52.0
119,Raymond Nichols,39,hobbslisa@hansen.org,2012-03-12,119837.91,Legal,1.05,False,63.0
120,Benjamin Miller,22,cmclaughlin@wells-green.net,2019-03-18,56795.07,IT,2.39,False,24.0
121,Thomas Taylor,49,jonathanrobinson@yahoo.com,2023-01-27,50431.6,HR,1.59,False,21.0
122,Patrick Maldonado,29,nnixon@gmail.com,2022-05-20,41264.55,Marketing,4.93,False,50.0
123,Kimberly Mitchell,55,mark06@ramirez-barrett.com,2017-04-04,116778.88,Operations,2.91,False,6.0
124,Maurice Patrick,25,suzannefriedman@carroll-ferguson.info,2019-07-22,100279.67,Finance,2.99,False,100.0
125,Dr. Jeremy Cook,40,cowananthony@yahoo.com,2020-05-12,44969.22,Sales,3.56,True,98.0
126,Timothy Johnson,60,wrightandrew@yahoo.com,2016-03-09,79741.78,HR,2.47,True,43.0
127,Eric Stewart,49,davidbrown@davis.com,2011-10-01,67239.14,HR,1.55,False,97.0
128,Scott Wilson,27,peaton@gmail.com,2011-05-28,43633.74,Operations,4.29,True,87.0
129,Mario Kaufman,36,stephaniegutierrez@gmail.com,2014-02-23,44586.57,Legal,1.76,True,66.0
130,Jason Paul,41,wendy60@ellison-crawford.com,2019-09-30,116712.3,IT,3.05,False,24.0
131,Jessica Hamilton,37,rachelrogers@hotmail.com,2020-07-04,57446.78,IT,1.9,True,92.0
132,Aaron Evans,43,timothyortega@stewart.com,2013-07-17,114729.54,HR,1.39,True,41.0
133,Ronald Stewart,23,frobinson@kaiser.com,2017-03-18,36804.96,Legal,4.45,True,23.0
134,Joshua Figueroa,43,justin94@yahoo.com,2020-07-25,71472.27,HR,4.89,True,66.0
135,Hannah Beck,63,kevinhorton@hotmail.com,2014-11-30,41665.71,Operations,4.84,False,69.0
136,Kevin Stevens,65,carolynwilcox@hotmail.com,2012-02-21,30430.86,Legal,4.63,True,91.0
137,Nancy Hunter,42,jamie51@yahoo.com,2014-11-19,79838.95,Marketing,4.1,True,76.0
138,Ryan Ellis,62,camachosandra@gmail.com,2019-02-27,40250.47,Operations,2.33,True,74.0
139,Terri Fuller,44,ian74@lee-williams.org,2013-01-27,94982.21,Sales,1.32,False,55.0
140,Elaine Griffith,61,victoria60@hotmail.com,2013-12-25,92830.47,Legal,2.63,True,19.0
141,Louis Bridges,50,greenemegan@thomas.net,2018-11-20,45869.96,Operations,1.93,False,81.0
142,Dominique Smith,48,gregory08@hotmail.com,2019-10-27,114756.79,Marketing,1.53,False,88.0
143,Duane Clark,32,wyattchristopher@hotmail.com,2015-12-26,94893.91,Finance,1.21,False,79.0
144,Kara Wilson,25,wwilson@yahoo.com,2020-04-09,56817.32,Marketing,3.9,False,63.0
145,Brooke Marshall,50,joseph28@campbell.info,2024-05-31,93831.04,Legal,1.05,True,84.0
146,Andrea Wilson,19,xgreen@turner.org,2019-06-19,95873.72,IT,4.08,False,73.0
147,Brandon White DDS,65,benjamin61@yahoo.com,2017-09-09,60800.37,Legal,1.59,False,27.0
148,Laura Mendoza,63,shawnatkins@hotmail.com,2015-08-01,63802.97,IT,1.32,False,76.0
149,Angela Baker,61,danielle80@vance.net,2013-07-31,62319.59,Operations,1.36,False,56.0
150,Mark Moore,44,brentgeorge@hotmail.com,2021-03-23,85495.66,Marketing,3.69,False,4.0
151,Jerry Owens,33,bakermatthew@graham.biz,2018-12-03,111036.91,Legal,1.98,True,31.0
152,Andrea Mathews,22,yolanda85@russo.com,2019-03-18,45587.39,Sales,2.68,False,62.0
153,Morgan Morales,28,brendan02@gmail.com,2022-11-21,108767.96,Marketing,3.23,False,77.0
154,Matthew Davidson,39,lauraholmes@hotmail.com,2021-03-02,32488.78,Finance,4.44,True,40.0
155,Spencer White,57,csmith@hotmail.com,2012-11-03,89430.47,Sales,3.91,True,71.0
156,Ian Harris,60,btate@yahoo.com,2021-03-20,67299.5,Sales,2.08,True,93.0
157,Lori Welch,61,johnsonchristopher@matthews.com,2023-12-30,101215.34,Operations,1.53,True,25.0
158,Gregory Johnson,48,bduran@yahoo.com,2023-07-18,94907.83,Operations,1.22,False,
159,John Garcia,40,omartin@yahoo.com,2023-09-20,73209.7,Operations,2.21,True,5.0
160,Marie Murray PhD,18,hjohnson@gmail.com,2012-10-14,87947.76,Legal,2.05,False,7.0
161,Samantha Marsh,35,rodriguezmartha@maldonado-lawrence.com,2024-03-12,75159.58,Finance,2.82,True,17.0
162,Samantha Henson,30,turnerrebecca@wilson-mendez.com,2019-04-07,103036.66,HR,3.73,True,31.0
163,Barbara Allen,45,fwarren@davenport.info,2010-08-03,72847.56,Finance,3.78,True,56.0
164,Katherine Mcmahon,61,douglas06@yahoo.com,2010-07-07,77084.04,Marketing,2.13,False,86.0
165,Peter Stewart Jr.,65,gjohnson@parker-johnson.com,2019-02-06,52546.85,HR,2.52,True,78.0
166,Anthony Bishop,40,jeanwilliams@wilson.com,2019-02-08,84453.87,Sales,1.72,False,28.0
167,Andrea Mejia,49,michaelolsen@yahoo.com,2016-04-18,57261.43,Marketing,4.15,True,84.0
168,Mary Clark,52,jermaine83@holland-chandler.info,2016-06-22,81955.56,Operations,1.23,False,87.0
169,Connie Valdez,52,matthew60@hotmail.com,2023-04-15,45271.03,Finance,3.79,True,13.0
170,Jason York,60,stephanie52@gmail.com,2018-07-13,44352.22,Legal,4.11,False,96.0
171,Wanda Larson,22,vincent09@yahoo.com,2022-03-06,67532.68,IT,4.11,True,66.0
172,Phillip Murphy,54,yandersen@yahoo.com,2017-10-14,68413.76,IT,2.04,True,54.0
173,Angela Hartman,37,debraroman@yahoo.com,2023-07-06,54129.83,HR,2.5,False,82.0
174,Robin Turner,62,tasha74@browning.info,2019-05-02,41843.72,Operations,3.35,False,81.0
175,Austin Wood,35,yhenderson@roy-mccarthy.com,2010-07-10,33528.95,Finance,2.09,False,36.0
176,Robert Martinez,65,psmith@hotmail.com,2017-02-01,32270.86,HR,2.48,False,87.0
177,Steven Odom,24,dustin35@gmail.com,2017-08-23,54439.53,Operations,1.79,False,43.0
178,Tabitha Williamson,24,denise62@yahoo.com,2010-12-06,71566.81,IT,2.84,True,63.0
179,Jon Brooks,27,steven45@gmail.com,2018-10-24,95361.9,Finance,1.18,True,87.0
180,Steven Bowers,46,uchan@miller.biz,2014-05-01,72738.45,Legal,4.2,True,24.0
181,Christie Hood,31,fallen@yahoo.com,2014-05-28,111364.57,IT,1.31,False,20.0
182,Susan Peterson,27,jennifergordon@hotmail.com,2011-07-13,33169.78,Finance,3.08,True,47.0
183,Ashley Rogers,39,wesley82@johnson.com,2022-06-20,46259.46,Sales,2.23,True,71.0
184,Bobby Davis,20,catherine47@henson.net,2013-07-02,60466.3,Legal,3.31,False,45.0
185,Gregory Lewis,27,fuentessabrina@yahoo.com,2020-01-09,81974.66,HR,4.84,True,91.0
186,Erica Thompson,64,gmiller@robinson-lamb.com,2021-11-02,106746.25,HR,3.58,True,56.0
187,Mariah Williams,54,daniellejenkins@yahoo.com,2022-04-30,61518.18,Legal,1.14,False,50.0
188,Lisa Roberts,46,matthewthompson@cox.com,2020-05-20,54118.98,IT,2.72,False,56.0
189,Shane Bryant,18,reedstephanie@williams.info,2023-05-13,35570.03,Legal,3.04,False,84.0
190,Andrea Herman,28,alfredjackson@hotmail.com,2014-08-11,103917.31,Operations,3.14,False,40.0
191,Katherine Vasquez,31,nortonmargaret@gmail.com,2017-10-03,64169.98,IT,3.73,False,59.0
192,Ashley Neal,61,rbeasley@jones.net,2012-09-25,81439.52,HR,2.11,False,8.0
193,Christopher Miller,20,xburns@paul.com,2024-04-28,118519.99,Legal,1.52,False,18.0
194,John Mcintosh,55,schmittnatasha@thomas.com,2018-10-10,30143.51,Marketing,2.57,True,28.0
195,Drew Stevens,25,sanchezchelsea@henry.info,2019-02-14,43090.51,Operations,4.83,True,96.0
196,Cassie Rose,41,istewart@gmail.com,2019-02-02,100119.99,Marketing,1.75,False,14.0
197,Brandy Brown,48,jenna04@yahoo.com,2019-02-11,102461.47,Marketing,4.62,True,96.0
198,Heather Kim,35,wbennett@reynolds.com,2017-07-11,99232.24,Operations,3.18,True,19.0
199,Jason Freeman,21,betty33@gmail.com,2019-01-01,78329.9,HR,2.83,False,50.0
200,Joshua Wright,65,jensenmichael@perez-valentine.com,2013-10-14,118097.13,HR,4.53,False,59.0
201,Samantha Walters,52,michaelwright@hotmail.com,2019-03-27,65656.61,HR,2.83,False,90.0
202,Travis Stewart,34,josephsnyder@jones.com,2011-02-02,84174.93,Operations,3.9,True,69.0
203,Francis Wilson,36,emilymyers@gmail.com,2011-05-05,35703.21,IT,2.6,False,26.0
204,Theresa Ray,60,lambmegan@hotmail.com,2013-03-09,66887.17,Marketing,4.62,False,47.0
205,Bianca Green,36,carterjohn@hotmail.com,2013-09-08,95025.01,Legal,3.76,False,90.0
206,Jennifer Graves,46,ryan62@gmail.com,2022-08-17,51486.5,Marketing,3.8,False,5.0
207,Devin Harris,53,jacqueline23@hotmail.com,2015-04-30,114944.48,HR,2.31,True,2.0
208,Jeremy Villegas,44,stevenponce@gmail.com,2017-10-22,91810.5,Sales,4.03,True,51.0
209,Alexis Johnson,57,yodonnell@yahoo.com,2023-08-02,55881.78,HR,3.54,True,26.0
210,Caitlin Allen,60,ythomas@hotmail.com,2022-09-11,99209.9,Finance,1.96,True,11.0
211,George Walker,64,tracyhawkins@cook-ortiz.com,2017-03-03,37484.83,Legal,1.64,True,52.0
212,Cassandra Jacobs,23,lrowland@gray.net,2014-05-08,117729.7,HR,4.19,True,74.0
213,Gabriel Ramsey,46,katielewis@gmail.com,2019-11-14,34435.67,HR,4.84,False,72.0
214,Vincent Hansen,61,urodriguez@craig-key.com,2020-06-16,114011.03,Marketing,2.83,True,52.0
215,Mathew Carter,37,mwheeler@reid.biz,2018-02-19,52756.85,HR,3.36,False,69.0
216,Anna Bishop,28,williamsanthony@hotmail.com,2017-09-23,98204.17,IT,4.43,True,26.0
217,Jerry Bond,28,nlee@caldwell.org,2018-06-03,30006.63,IT,2.83,False,81.0
218,Jimmy Hess,27,nmiller@gmail.com,2011-04-17,52881.61,Operations,4.81,False,
219,Jeffery Parker,45,nheath@rivers.net,2020-08-12,97419.05,HR,3.3,True,85.0
220,Thomas Perez,53,ijohnson@ford.com,2011-09-20,77910.25,Sales,4.28,True,17.0
221,Julia Adams,29,amy99@gmail.com,2024-05-14,40345.69,IT,4.64,True,67.0
222,Mary Osborne,50,rmiller@reynolds.com,2021-02-16,65426.68,Operations,4.26,False,82.0
223,Robyn Brown,56,patrick48@gmail.com,2014-08-14,63799.44,Legal,1.64,True,62.0
224,Jenna Carrillo,49,nicholas24@yahoo.com,2015-08-27,81134.6,HR,3.52,True,39.0
225,Kevin Neal,40,alexa20@solomon.net,2012-08-02,90117.94,Operations,2.59,False,48.0
226,Justin Henderson,45,james87@gmail.com,2018-08-19,105674.72,HR,1.25,False,69.0
227,Cindy Jimenez,39,michael90@gmail.com,2013-06-25,74750.83,Marketing,2.7,False,68.0
228,Michael Graves,51,figueroalorraine@bush.com,2022-12-03,65281.95,Sales,2.03,False,8.0
229,Tiffany Gonzalez,62,nancywells@hotmail.com,2015-08-03,42957.89,Marketing,4.4,True,10.0
230,Beth Rodriguez,59,frank65@sexton.com,2010-08-26,102434.07,HR,1.13,False,77.0
231,Ryan Lewis,61,anthony79@hotmail.com,2020-11-12,94203.34,Legal,4.84,True,93.0
232,Carolyn Shelton,53,lking@gmail.com,2015-01-20,66780.97,Finance,2.42,False,63.0
233,Robert Fitzpatrick,59,reedkimberly@yahoo.com,2018-11-19,76658.91,HR,2.43,False,96.0
234,Jason Richard,41,ricardohoffman@davis-holmes.com,2012-07-14,89866.46,IT,1.07,False,1.0
235,Thomas Pena,58,mcdonaldheather@estrada-johnson.com,2019-04-09,44832.5,HR,1.74,False,26.0
236,Mr. Tyler Garrett,41,michelle54@skinner.org,2019-06-20,32447.8,Operations,2.61,False,53.0
237,Andrew Rivera,26,nelsonheidi@little.com,2013-04-21,58575.33,Finance,4.72,True,78.0
238,James Lopez,59,scottsmith@gmail.com,2015-02-14,83602.65,Finance,1.4,True,96.0
239,Catherine Chandler,63,goodmanjennifer@hill.com,2015-03-18,73794.55,Sales,4.78,True,46.0
240,Brittany Hunt,65,ywood@hotmail.com,2021-12-14,92329.92,IT,4.48,True,39.0
241,Rita Keller,33,qchoi@perez-smith.com,2015-06-19,103772.08,HR,2.82,True,10.0
242,Natasha Davis,54,allensalazar@hotmail.com,2015-01-18,73959.82,Marketing,2.31,False,95.0
243,Taylor Thomas,19,vdominguez@gmail.com,2019-04-07,42084.03,Sales,1.93,True,2.0
244,Megan White,48,hgonzalez@clements-smith.com,2022-11-12,106556.52,HR,3.46,True,98.0
245,Ricky Holt,55,nathan38@smith-pope.info,2023-02-12,81749.13,Marketing,1.13,False,30.0
246,Heather Porter,60,tcampbell@hotmail.com,2016-12-13,96594.37,HR,1.06,True,78.0
247,Steven Walters,18,williamshepherd@hotmail.com,2011-07-27,93419.82,Operations,2.72,False,3.0
248,Elizabeth Becker,37,hollowaygabriella@hotmail.com,2016-07-29,117139.06,Sales,1.27,True,75.0
249,April Vega,24,cnorris@yahoo.com,2019-03-07,56577.66,IT,2.01,True,65.0
250,Pam Fletcher,47,michellegraves@yahoo.com,2022-01-17,93477.61,Finance,1.88,False,47.0
251,Stephanie Conner,21,jakechavez@owen.com,2021-01-29,62910.87,Finance,2.01,False,19.0
252,Kara Parks,49,ebrown@gmail.com,2019-03-16,65586.96,Operations,1.52,True,59.0
253,Gerald King,47,andersonmichael@russo-contreras.net,2021-09-02,50753.52,Sales,1.05,False,33.0
254,Charles Garrett,34,kferguson@hotmail.com,2013-03-15,60960.92,Legal,1.46,True,14.0
255,Shawna Smith,21,susandavis@yahoo.com,2020-11-05,115346.71,Marketing,3.47,False,75.0
256,Louis Mcknight,44,merrittjoseph@summers.com,2015-11-22,56331.38,IT,4.9,True,57.0
257,Shelia Lee,24,shaffergregory@hotmail.com,2022-01-16,52139.15,Operations,4.96,True,35.0
258,Daniel Gutierrez,59,btaylor@gmail.com,2014-12-09,82482.42,Operations,2.64,True,28.0
259,Ryan Meyer,55,bartonmonica@perez-macdonald.info,2017-05-07,53223.24,IT,1.65,False,48.0
260,Nicholas Faulkner,29,wmeyer@hotmail.com,2010-09-19,72604.72,Legal,3.56,False,49.0
261,Brandon Clark,35,mark03@hotmail.com,2012-10-03,105075.86,HR,2.96,True,95.0
262,Heidi Johnson,61,castromelissa@hotmail.com,2023-11-21,50736.03,Legal,4.96,False,64.0
263,Kim Bradley,21,pthomas@luna-chapman.com,2012-04-24,68402.23,Operations,1.26,False,43.0
264,Gary Harper,38,laura90@jacobson-fuller.org,2017-05-20,84944.08,IT,4.13,False,29.0
265,Lisa Phillips,45,nicolemoreno@bridges.com,2018-03-17,79106.6,Legal,2.15,True,75.0
266,Amanda James,46,hwilliams@hotmail.com,2016-08-02,117725.09,IT,1.97,True,33.0
267,Paul Ortiz,32,hendricksmiranda@terrell-boyd.org,2020-03-12,91233.32,Finance,3.65,True,11.0
268,Jessica Wright,32,upatrick@yahoo.com,2021-11-04,96595.16,Marketing,1.98,False,5.0
269,Samuel Taylor,34,qduncan@ruiz.com,2023-03-31,117026.04,Finance,3.66,False,19.0
270,Julie Mason,53,jennifer96@sherman.net,2016-11-25,67299.42,HR,3.07,True,40.0
271,Joan Leach,56,daltonwells@wilson-zhang.com,2017-02-18,61984.18,Marketing,2.7,True,80.0
272,Bradley May,61,marissagarrett@gmail.com,2012-06-25,33947.62,Sales,3.22,False,74.0
273,Elizabeth Moore,45,gregory06@gmail.com,2016-01-11,46578.39,Operations,2.15,True,72.0
